Chrom,Start,End,miRNA Name,Circ Name,Strand,Seed Category,ID,Software Matched,Validated,AGO
chr1,1022247,1022531,hsa-miR-24-3p,hsa_DE_SD_1,+,No Seed,INT_RH_508,1,No,Yes
chr1,1022201,1022485,hsa-miR-24-2-5p,hsa_DE_SD_1,+,No Seed,INT_RH_509,1,No,Yes
chr1,1022256,1022540,hsa-miR-25-3p,hsa_DE_SD_1,+,No Seed,INT_RH_511,1,No,Yes
chr1,1022426,1022710,hsa-miR-26a-1-3p,hsa_DE_SD_1,+,No Seed,INT_RH_513,1,No,Yes
chr1,1022313,1022596,hsa-miR-26b-3p,hsa_DE_SD_1,+,No Seed,INT_RH_515,1,No,Yes
chr1,1022377,1022661,hsa-miR-27a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_516,1,No,Yes
chr1,1022427,1022710,hsa-miR-27a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_517,1,No,Yes
chr1,1022226,1022510,hsa-miR-28-5p,hsa_DE_SD_1,+,No Seed,INT_RH_518,1,No,Yes
chr1,1022241,1022525,hsa-miR-28-3p,hsa_DE_SD_1,+,No Seed,INT_RH_519,1,No,Yes
chr1,1022254,1022538,hsa-miR-29a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_520,1,No,Yes
chr1,1022260,1022544,hsa-miR-29a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_521,1,No,Yes
chr1,1022201,1022485,hsa-miR-30a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_522,1,No,Yes
chr1,1022443,1022727,hsa-miR-30a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_523,1,No,Yes
chr1,1022390,1022673,hsa-miR-31-5p,hsa_DE_SD_1,+,No Seed,INT_RH_524,1,No,Yes
chr1,1022209,1022493,hsa-miR-31-3p,hsa_DE_SD_1,+,No Seed,INT_RH_525,1,No,Yes
chr1,1022264,1022548,hsa-miR-32-5p,hsa_DE_SD_1,+,No Seed,INT_RH_526,1,No,Yes
chr1,1022315,1022599,hsa-miR-32-3p,hsa_DE_SD_1,+,No Seed,INT_RH_527,1,No,Yes
chr1,1022391,1022674,hsa-miR-33a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_528,1,No,Yes
chr1,1022275,1022559,hsa-miR-33a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_529,1,No,Yes
chr1,1022235,1022519,hsa-miR-92a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_531,1,No,Yes
chr1,1022393,1022677,hsa-miR-92a-2-5p,hsa_DE_SD_1,+,No Seed,INT_RH_532,1,No,Yes
chr1,1022249,1022534,hsa-miR-93-5p,hsa_DE_SD_1,+,No Seed,INT_RH_533,1,No,Yes
chr1,1022279,1022562,hsa-miR-95-5p,hsa_DE_SD_1,+,No Seed,INT_RH_535,1,No,Yes
chr1,1022396,1022680,hsa-miR-95-3p,hsa_DE_SD_1,+,No Seed,INT_RH_536,1,No,Yes
chr1,1022209,1022493,hsa-miR-96-3p,hsa_DE_SD_1,+,No Seed,INT_RH_538,1,No,Yes
chr1,1022381,1022665,hsa-miR-98-5p,hsa_DE_SD_1,+,No Seed,INT_RH_539,1,No,Yes
chr1,1022436,1022720,hsa-miR-98-3p,hsa_DE_SD_1,+,No Seed,INT_RH_540,1,No,Yes
chr1,1022267,1022551,hsa-miR-99a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_541,1,No,Yes
chr1,1022201,1022485,hsa-miR-100-5p,hsa_DE_SD_1,+,No Seed,INT_RH_543,1,No,Yes
chr1,1022363,1022647,hsa-miR-100-3p,hsa_DE_SD_1,+,No Seed,INT_RH_544,1,No,Yes
chr1,1022253,1022537,hsa-miR-101-5p,hsa_DE_SD_1,+,No Seed,INT_RH_545,1,No,Yes
chr1,1022201,1022484,hsa-miR-101-3p,hsa_DE_SD_1,+,No Seed,INT_RH_546,1,No,Yes
chr1,1022253,1022538,hsa-miR-29b-3p,hsa_DE_SD_1,+,No Seed,INT_RH_548,1,No,Yes
chr1,1022210,1022495,hsa-miR-103a-2-5p,hsa_DE_SD_1,+,No Seed,INT_RH_550,1,No,Yes
chr1,1022236,1022521,hsa-miR-103a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_551,1,No,Yes
chr1,1022210,1022495,hsa-miR-103a-1-5p,hsa_DE_SD_1,+,No Seed,INT_RH_552,1,No,Yes
chr1,1022432,1022717,hsa-miR-105-5p,hsa_DE_SD_1,+,No Seed,INT_RH_553,1,No,Yes
chr1,1022390,1022674,hsa-miR-105-3p,hsa_DE_SD_1,+,No Seed,INT_RH_554,1,No,Yes
chr1,1022249,1022534,hsa-miR-106a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_555,1,No,Yes
chr1,1022243,1022527,hsa-miR-106a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_556,1,No,Yes
chr1,1022234,1022519,hsa-miR-107,hsa_DE_SD_1,+,No Seed,INT_RH_557,1,No,Yes
chr1,1022260,1022544,hsa-miR-16-2-3p,hsa_DE_SD_1,+,No Seed,INT_RH_558,1,No,Yes
chr1,1022391,1022674,hsa-miR-192-5p,hsa_DE_SD_1,+,No Seed,INT_RH_559,1,No,Yes
chr1,1022236,1022520,hsa-miR-192-3p,hsa_DE_SD_1,+,No Seed,INT_RH_560,1,No,Yes
chr1,1022232,1022516,hsa-miR-196a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_561,1,No,Yes
chr1,1022202,1022485,hsa-miR-196a-1-3p,hsa_DE_SD_1,+,No Seed,INT_RH_562,1,No,Yes
chr1,1022313,1022598,hsa-miR-197-5p,hsa_DE_SD_1,+,No Seed,INT_RH_563,1,No,Yes
chr1,1022314,1022599,hsa-miR-199a-5p,hsa_DE_SD_1,+,8mer,INT_RH_566,1,No,Yes
chr1,1022230,1022514,hsa-miR-199a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_567,1,No,Yes
chr1,1022236,1022520,hsa-miR-208a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_568,1,No,Yes
chr1,1022387,1022671,hsa-miR-208a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_569,1,No,Yes
chr1,1022247,1022530,hsa-miR-129-5p,hsa_DE_SD_1,+,No Seed,INT_RH_570,1,No,Yes
chr1,1022209,1022493,hsa-miR-129-1-3p,hsa_DE_SD_1,+,No Seed,INT_RH_571,1,No,Yes
chr1,1022260,1022544,hsa-miR-148a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_572,1,No,Yes
chr1,1022445,1022729,hsa-miR-148a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_573,1,No,Yes
chr1,1022239,1022524,hsa-miR-30c-5p,hsa_DE_SD_1,+,No Seed,INT_RH_574,1,No,Yes
chr1,1022222,1022506,hsa-miR-30c-2-3p,hsa_DE_SD_1,+,No Seed,INT_RH_575,1,No,Yes
chr1,1022201,1022485,hsa-miR-30d-5p,hsa_DE_SD_1,+,No Seed,INT_RH_576,1,No,Yes
chr1,1022442,1022726,hsa-miR-30d-3p,hsa_DE_SD_1,+,No Seed,INT_RH_577,1,No,Yes
chr1,1022434,1022719,hsa-miR-139-5p,hsa_DE_SD_1,+,No Seed,INT_RH_578,1,No,Yes
chr1,1022402,1022687,hsa-miR-139-3p,hsa_DE_SD_1,+,No Seed,INT_RH_579,1,No,Yes
chr1,1022391,1022673,hsa-miR-147a,hsa_DE_SD_1,+,No Seed,INT_RH_580,1,No,Yes
chr1,1022308,1022594,hsa-miR-7-5p,hsa_DE_SD_1,+,No Seed,INT_RH_581,1,No,Yes
chr1,1022209,1022493,hsa-miR-7-1-3p,hsa_DE_SD_1,+,No Seed,INT_RH_582,1,No,Yes
chr1,1022315,1022599,hsa-miR-7-2-3p,hsa_DE_SD_1,+,No Seed,INT_RH_583,1,No,Yes
chr1,1022201,1022486,hsa-miR-10a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_584,1,No,Yes
chr1,1022251,1022535,hsa-miR-10a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_585,1,No,Yes
chr1,1022201,1022486,hsa-miR-10b-5p,hsa_DE_SD_1,+,No Seed,INT_RH_586,1,No,Yes
chr1,1022433,1022717,hsa-miR-10b-3p,hsa_DE_SD_1,+,No Seed,INT_RH_587,1,No,Yes
chr1,1022309,1022593,hsa-miR-34a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_588,1,No,Yes
chr1,1022249,1022534,hsa-miR-181a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_590,1,No,Yes
chr1,1022271,1022555,hsa-miR-181a-2-3p,hsa_DE_SD_1,+,No Seed,INT_RH_591,1,No,Yes
chr1,1022249,1022534,hsa-miR-181b-5p,hsa_DE_SD_1,+,No Seed,INT_RH_592,1,No,Yes
chr1,1022261,1022544,hsa-miR-181b-3p,hsa_DE_SD_1,+,No Seed,INT_RH_593,1,No,Yes
chr1,1022303,1022587,hsa-miR-181c-5p,hsa_DE_SD_1,+,No Seed,INT_RH_594,1,No,Yes
chr1,1022251,1022535,hsa-miR-181c-3p,hsa_DE_SD_1,+,No Seed,INT_RH_595,1,No,Yes
chr1,1022442,1022728,hsa-miR-182-5p,hsa_DE_SD_1,+,No Seed,INT_RH_596,1,No,Yes
chr1,1022234,1022517,hsa-miR-182-3p,hsa_DE_SD_1,+,No Seed,INT_RH_597,1,No,Yes
chr1,1022347,1022631,hsa-miR-183-5p,hsa_DE_SD_1,+,No Seed,INT_RH_598,1,No,Yes
chr1,1022201,1022485,hsa-miR-183-3p,hsa_DE_SD_1,+,No Seed,INT_RH_599,1,No,Yes
chr1,1022239,1022523,hsa-miR-187-5p,hsa_DE_SD_1,+,No Seed,INT_RH_600,1,No,Yes
chr1,1022259,1022543,hsa-miR-187-3p,hsa_DE_SD_1,+,No Seed,INT_RH_601,1,No,Yes
chr1,1022207,1022491,hsa-miR-196a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_602,1,No,Yes
chr1,1022314,1022599,hsa-miR-199b-5p,hsa_DE_SD_1,+,8mer,INT_RH_603,1,No,Yes
chr1,1022230,1022514,hsa-miR-199b-3p,hsa_DE_SD_1,+,No Seed,INT_RH_604,1,No,Yes
chr1,1022233,1022520,hsa-miR-203a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_605,1,No,Yes
chr1,1022233,1022517,hsa-miR-203a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_606,1,No,Yes
chr1,1022223,1022507,hsa-miR-204-5p,hsa_DE_SD_1,+,No Seed,INT_RH_607,1,No,Yes
chr1,1022387,1022670,hsa-miR-204-3p,hsa_DE_SD_1,+,No Seed,INT_RH_608,1,No,Yes
chr1,1022389,1022672,hsa-miR-205-3p,hsa_DE_SD_1,+,No Seed,INT_RH_610,1,No,Yes
chr1,1022205,1022489,hsa-miR-210-5p,hsa_DE_SD_1,+,No Seed,INT_RH_611,1,No,Yes
chr1,1022248,1022532,hsa-miR-210-3p,hsa_DE_SD_1,+,No Seed,INT_RH_612,1,No,Yes
chr1,1022223,1022507,hsa-miR-211-5p,hsa_DE_SD_1,+,No Seed,INT_RH_613,1,No,Yes
chr1,1022331,1022614,hsa-miR-211-3p,hsa_DE_SD_1,+,7A1,INT_RH_614,1,No,Yes
chr1,1022274,1022559,hsa-miR-212-5p,hsa_DE_SD_1,+,No Seed,INT_RH_615,1,No,Yes
chr1,1022271,1022554,hsa-miR-212-3p,hsa_DE_SD_1,+,No Seed,INT_RH_616,1,No,Yes
chr1,1022274,1022558,hsa-miR-181a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_617,1,No,Yes
chr1,1022261,1022545,hsa-miR-214-5p,hsa_DE_SD_1,+,No Seed,INT_RH_618,1,No,Yes
chr1,1022206,1022489,hsa-miR-215-5p,hsa_DE_SD_1,+,No Seed,INT_RH_620,1,No,Yes
chr1,1022237,1022522,hsa-miR-215-3p,hsa_DE_SD_1,+,No Seed,INT_RH_621,1,No,Yes
chr1,1022240,1022524,hsa-miR-216a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_622,1,No,Yes
chr1,1022275,1022559,hsa-miR-216a-3p,hsa_DE_SD_1,+,7A1,INT_RH_623,1,No,Yes
chr1,1022424,1022709,hsa-miR-217-5p,hsa_DE_SD_1,+,No Seed,INT_RH_624,1,No,Yes
chr1,1022415,1022699,hsa-miR-217-3p,hsa_DE_SD_1,+,No Seed,INT_RH_625,1,No,Yes
chr1,1022267,1022550,hsa-miR-218-5p,hsa_DE_SD_1,+,No Seed,INT_RH_626,1,No,Yes
chr1,1022211,1022495,hsa-miR-218-2-3p,hsa_DE_SD_1,+,No Seed,INT_RH_628,1,No,Yes
chr1,1022256,1022539,hsa-miR-219a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_629,1,No,Yes
chr1,1022354,1022638,hsa-miR-221-5p,hsa_DE_SD_1,+,No Seed,INT_RH_631,1,No,Yes
chr1,1022247,1022532,hsa-miR-221-3p,hsa_DE_SD_1,+,No Seed,INT_RH_632,1,No,Yes
chr1,1022417,1022701,hsa-miR-222-5p,hsa_DE_SD_1,+,No Seed,INT_RH_633,1,No,Yes
chr1,1022231,1022514,hsa-miR-222-3p,hsa_DE_SD_1,+,No Seed,INT_RH_634,1,No,Yes
chr1,1022401,1022685,hsa-miR-223-5p,hsa_DE_SD_1,+,No Seed,INT_RH_635,1,No,Yes
chr1,1022209,1022493,hsa-miR-223-3p,hsa_DE_SD_1,+,No Seed,INT_RH_636,1,No,Yes
chr1,1022254,1022541,hsa-miR-224-5p,hsa_DE_SD_1,+,No Seed,INT_RH_637,1,No,Yes
chr1,1022317,1022602,hsa-miR-224-3p,hsa_DE_SD_1,+,No Seed,INT_RH_638,1,No,Yes
chr1,1022232,1022516,hsa-miR-200b-5p,hsa_DE_SD_1,+,No Seed,INT_RH_639,1,No,Yes
chr1,1022300,1022584,hsa-miR-200b-3p,hsa_DE_SD_1,+,No Seed,INT_RH_640,1,No,Yes
chr1,1022390,1022674,hsa-let-7g-5p,hsa_DE_SD_1,+,No Seed,INT_RH_641,1,No,Yes
chr1,1022437,1022720,hsa-let-7g-3p,hsa_DE_SD_1,+,No Seed,INT_RH_642,1,No,Yes
chr1,1022386,1022670,hsa-let-7i-5p,hsa_DE_SD_1,+,No Seed,INT_RH_643,1,No,Yes
chr1,1022205,1022489,hsa-let-7i-3p,hsa_DE_SD_1,+,No Seed,INT_RH_644,1,No,Yes
chr1,1022334,1022618,hsa-miR-1-3p,hsa_DE_SD_1,+,No Seed,INT_RH_645,1,No,Yes
chr1,1022236,1022520,hsa-miR-15b-5p,hsa_DE_SD_1,+,No Seed,INT_RH_646,1,No,Yes
chr1,1022255,1022539,hsa-miR-15b-3p,hsa_DE_SD_1,+,No Seed,INT_RH_647,1,No,Yes
chr1,1022272,1022557,hsa-miR-23b-3p,hsa_DE_SD_1,+,No Seed,INT_RH_649,1,No,Yes
chr1,1022371,1022655,hsa-miR-27b-5p,hsa_DE_SD_1,+,No Seed,INT_RH_650,1,No,Yes
chr1,1022427,1022710,hsa-miR-27b-3p,hsa_DE_SD_1,+,No Seed,INT_RH_651,1,No,Yes
chr1,1022243,1022527,hsa-miR-30b-5p,hsa_DE_SD_1,+,No Seed,INT_RH_652,1,No,Yes
chr1,1022347,1022631,hsa-miR-30b-3p,hsa_DE_SD_1,+,No Seed,INT_RH_653,1,No,Yes
chr1,1022308,1022592,hsa-miR-122-5p,hsa_DE_SD_1,+,No Seed,INT_RH_654,1,No,Yes
chr1,1022270,1022554,hsa-miR-122-3p,hsa_DE_SD_1,+,No Seed,INT_RH_655,1,No,Yes
chr1,1022271,1022555,hsa-miR-124-3p,hsa_DE_SD_1,+,No Seed,INT_RH_657,1,No,Yes
chr1,1022434,1022718,hsa-miR-125b-5p,hsa_DE_SD_1,+,No Seed,INT_RH_658,1,No,Yes
chr1,1022235,1022519,hsa-miR-125b-1-3p,hsa_DE_SD_1,+,No Seed,INT_RH_659,1,No,Yes
chr1,1022410,1022695,hsa-miR-128-1-5p,hsa_DE_SD_1,+,No Seed,INT_RH_660,1,No,Yes
chr1,1022224,1022508,hsa-miR-130a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_662,1,No,Yes
chr1,1022249,1022533,hsa-miR-130a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_663,1,No,Yes
chr1,1022235,1022519,hsa-miR-132-5p,hsa_DE_SD_1,+,No Seed,INT_RH_664,1,No,Yes
chr1,1022230,1022514,hsa-miR-132-3p,hsa_DE_SD_1,+,No Seed,INT_RH_665,1,No,Yes
chr1,1022234,1022518,hsa-miR-133a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_666,1,No,Yes
chr1,1022210,1022494,hsa-miR-133a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_667,1,No,Yes
chr1,1022233,1022518,hsa-miR-135a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_668,1,No,Yes
chr1,1022408,1022692,hsa-miR-135a-3p,hsa_DE_SD_1,+,No Seed,INT_RH_669,1,No,Yes
chr1,1022411,1022695,hsa-miR-135a-2-3p,hsa_DE_SD_1,+,No Seed,INT_RH_670,1,No,Yes
chr1,1022211,1022496,hsa-miR-137-3p,hsa_DE_SD_1,+,No Seed,INT_RH_672,1,No,Yes
chr1,1022232,1022516,hsa-miR-138-2-3p,hsa_DE_SD_1,+,No Seed,INT_RH_674,1,No,Yes
chr1,1022239,1022523,hsa-miR-140-5p,hsa_DE_SD_1,+,No Seed,INT_RH_675,1,No,Yes
chr1,1022414,1022697,hsa-miR-140-3p,hsa_DE_SD_1,+,No Seed,INT_RH_676,1,No,Yes
chr1,1022241,1022525,hsa-miR-141-5p,hsa_DE_SD_1,+,No Seed,INT_RH_677,1,No,Yes
chr1,1022300,1022584,hsa-miR-141-3p,hsa_DE_SD_1,+,No Seed,INT_RH_678,1,No,Yes
chr1,1022271,1022554,hsa-miR-142-5p,hsa_DE_SD_1,+,No Seed,INT_RH_679,1,No,Yes
chr1,1022320,1022605,hsa-miR-142-3p,hsa_DE_SD_1,+,No Seed,INT_RH_680,1,No,Yes
chr1,1022432,1022716,hsa-miR-143-5p,hsa_DE_SD_1,+,No Seed,INT_RH_681,1,No,Yes
chr1,1022389,1022672,hsa-miR-143-3p,hsa_DE_SD_1,+,No Seed,INT_RH_682,1,No,Yes
chr1,1022211,1022495,hsa-miR-144-5p,hsa_DE_SD_1,+,No Seed,INT_RH_683,1,No,Yes
chr1,1022300,1022582,hsa-miR-144-3p,hsa_DE_SD_1,+,No Seed,INT_RH_684,1,No,Yes
chr1,1022222,1022506,hsa-miR-145-3p,hsa_DE_SD_1,+,No Seed,INT_RH_686,1,No,Yes
chr1,1022416,1022701,hsa-miR-152-5p,hsa_DE_SD_1,+,7mer-A1,INT_RH_687,1,No,Yes
chr1,1022313,1022596,hsa-miR-152-3p,hsa_DE_SD_1,+,No Seed,INT_RH_688,1,No,Yes
chr1,1022337,1022621,hsa-miR-153-3p,hsa_DE_SD_1,+,No Seed,INT_RH_689,1,No,Yes
chr1,1022253,1022537,hsa-miR-153-5p,hsa_DE_SD_1,+,No Seed,INT_RH_690,1,No,Yes
chr1,1022280,1022565,hsa-miR-191-5p,hsa_DE_SD_1,+,No Seed,INT_RH_691,1,No,Yes
chr1,1022439,1022723,hsa-miR-191-3p,hsa_DE_SD_1,+,No Seed,INT_RH_692,1,No,Yes
chr1,1022411,1022696,hsa-miR-9-5p,hsa_DE_SD_1,+,No Seed,INT_RH_693,1,No,Yes
chr1,1022201,1022485,hsa-miR-9-3p,hsa_DE_SD_1,+,No Seed,INT_RH_694,1,No,Yes
chr1,1022313,1022599,hsa-miR-125a-5p,hsa_DE_SD_1,+,No Seed,INT_RH_695,1,No,Yes
chr1,1022240,1022524,hsa-miR-125b-2-3p,hsa_DE_SD_1,+,No Seed,INT_RH_697,1,No,Yes
chr1,1022261,1022544,hsa-miR-126-5p,hsa_DE_SD_1,+,No Seed,INT_RH_698,1,No,Yes
chr1,1022201,1022485,hsa-miR-126-3p,hsa_DE_SD_1,+,No Seed,INT_RH_699,1,No,Yes
chr1,1022246,1022530,hsa-miR-127-5p,hsa_DE_SD_1,+,No Seed,INT_RH_700,1,No,Yes
